Provinsi,Tahun,IPM,Provinsi_geojson
ACEH,2022,72.8,ACEH
SUMATERA UTARA,2022,72.71,SUMATERAUTARA
SUMATERA BARAT,2022,73.26,SUMATERABARAT
RIAU,2022,73.52,RIAU
JAMBI,2022,72.14,JAMBI
SUMATERA SELATAN,2022,70.9,SUMATERASELATAN
BENGKULU,2022,72.16,BENGKULU
LAMPUNG,2022,70.45,LAMPUNG
KEP. BANGKA BELITUNG,2022,72.24,KEP.BANGKABELITUNG
KEP. RIAU,2022,76.46,KEP.RIAU
DKI JAKARTA,2022,81.65,DKIJAKARTA
JAWA BARAT,2022,73.12,JAWABARAT
JAWA TENGAH,2022,72.79,JAWATENGAH
DI YOGYAKARTA,2022,80.64,DIYOGYAKARTA
JAWA TIMUR,2022,72.75,JAWATIMUR
BANTEN,2022,73.32,BANTEN
BALI,2022,76.44,BALI
NUSA TENGGARA BARAT,2022,69.46,NUSATENGGARABARAT
NUSA TENGGARA TIMUR,2022,65.9,NUSATENGGARATIMUR
KALIMANTAN BARAT,2022,68.63,KALIMANTANBARAT
KALIMANTAN TENGAH,2022,71.63,KALIMANTANTENGAH
KALIMANTAN SELATAN,2022,71.84,KALIMANTANSELATAN
KALIMANTAN TIMUR,2022,77.44,KALIMANTANTIMUR
KALIMANTAN UTARA,2022,71.83,KALIMANTANUTARA
SULAWESI UTARA,2022,73.81,SULAWESIUTARA
SULAWESI TENGAH,2022,70.28,SULAWESITENGAH
SULAWESI SELATAN,2022,72.82,SULAWESISELATAN
SULAWESI TENGGARA,2022,72.23,SULAWESITENGGARA
GORONTALO,2022,69.81,GORONTALO
SULAWESI BARAT,2022,66.92,SULAWESIBARAT
MALUKU,2022,70.22,MALUKU
MALUKU UTARA,2022,69.47,MALUKUUTARA
PAPUA BARAT,2022,65.16,PAPUABARAT
PAPUA BARAT DAYA,2022,67.59,PAPUABARATDAYA
PAPUA,2022,71.76,PAPUA
PAPUA SELATAN,2022,65.74,PAPUASELATAN
PAPUA TENGAH,2022,58.25,PAPUATENGAH
PAPUA PEGUNUNGAN,2022,51.7,PAPUAPEGUNUNGAN
INDONESIA,2022,72.91,INDONESIA
ACEH,2023,73.4,ACEH
SUMATERA UTARA,2023,73.37,SUMATERAUTARA
SUMATERA BARAT,2023,73.75,SUMATERABARAT
RIAU,2023,74.04,RIAU
